epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,16590.2,1.86894,2.665,2.10234,0.70315,0.41278,0.45384,0.25273,1.67071,2.10495,2.04137,0.000792125,0.000792125,0.000792125
76,16812.5,1.90202,2.67137,2.10652,0.7216,0.40445,0.43051,0.22782,1.72107,2.21811,2.05173,0.000785938,0.000785938,0.000785938
77,17032.8,1.86932,2.67055,2.09645,0.6829,0.3968,0.45891,0.25663,1.64684,2.02361,2.00499,0.00077975,0.00077975,0.00077975
78,17253.9,1.91369,2.63797,2.11913,0.68389,0.43645,0.4754,0.25322,1.70871,2.07693,2.02799,0.000773563,0.000773563,0.000773563
79,17473.8,1.90975,2.64537,2.07991,0.87842,0.3434,0.48909,0.25909,1.64785,2.03373,2.01191,0.000767375,0.000767375,0.000767375
80,17694.8,1.90637,2.7135,2.11462,0.81309,0.3488,0.45257,0.24754,1.65879,2.03868,1.98703,0.000761188,0.000761188,0.000761188
81,17915.6,1.85206,2.599,2.07437,0.78171,0.41397,0.46039,0.25042,1.65082,2.09567,1.98693,0.000755,0.000755,0.000755
82,18135.3,1.83685,2.55703,2.07026,0.85019,0.36339,0.5019,0.25469,1.68631,1.98432,2.02538,0.000748813,0.000748813,0.000748813
83,18356.3,1.81221,2.60126,2.03764,0.76836,0.4325,0.49997,0.26663,1.58912,2.05014,1.96276,0.000742625,0.000742625,0.000742625
84,18576.7,1.86097,2.5468,2.10287,0.7557,0.4425,0.47187,0.26212,1.68298,1.98536,1.9945,0.000736438,0.000736438,0.000736438
85,18796.3,1.85772,2.49956,2.08686,0.5958,0.47427,0.50121,0.27273,1.64137,2.0389,1.99464,0.00073025,0.00073025,0.00073025
86,19017.2,1.8399,2.41469,2.05963,0.51176,0.46874,0.48653,0.27144,1.64817,1.9639,1.99371,0.000724062,0.000724062,0.000724062
87,19237,1.84526,2.56466,2.07249,0.72284,0.41354,0.48491,0.27624,1.61937,2.0315,1.99454,0.000717875,0.000717875,0.000717875
88,19457.5,1.80559,2.4483,2.00675,0.64885,0.49257,0.50483,0.27443,1.65345,1.91699,2.00111,0.000711687,0.000711687,0.000711687
89,19679.6,1.78531,2.44907,2.01507,0.78951,0.41875,0.46894,0.25357,1.70845,1.99702,2.06185,0.0007055,0.0007055,0.0007055
90,19899.1,1.81708,2.59585,2.07316,0.65648,0.4319,0.48122,0.2616,1.69138,2.03565,2.01696,0.000699312,0.000699312,0.000699312
91,20118.5,1.8577,2.54126,2.05351,0.59963,0.46039,0.50639,0.28131,1.63226,1.9714,1.97426,0.000693125,0.000693125,0.000693125
92,20339.5,1.83608,2.47784,2.04951,0.81359,0.40486,0.49743,0.27857,1.66363,1.95677,1.98056,0.000686937,0.000686937,0.000686937
93,20560.5,1.84,2.51803,2.05469,0.6982,0.40905,0.48101,0.27095,1.6043,1.97997,1.96186,0.00068075,0.00068075,0.00068075
94,20780.4,1.79711,2.4022,2.01981,0.7226,0.45042,0.51435,0.29854,1.67777,1.86245,2.01212,0.000674562,0.000674562,0.000674562
95,21001.4,1.84351,2.5885,2.05875,0.83056,0.44622,0.5465,0.30789,1.62507,1.87705,1.97538,0.000668375,0.000668375,0.000668375
96,21221.4,1.7799,2.41824,2.02052,0.80783,0.45573,0.51415,0.28774,1.65343,1.88103,2.00929,0.000662188,0.000662188,0.000662188
97,21442.2,1.73833,2.4209,1.97524,0.79675,0.41972,0.51794,0.29215,1.6122,1.77623,1.97463,0.000656,0.000656,0.000656
98,21662.7,1.82469,2.47929,2.02843,0.71102,0.48367,0.54011,0.29911,1.6134,1.81508,1.95584,0.000649813,0.000649813,0.000649813
99,21883.6,1.72206,2.33306,1.95773,0.85368,0.44054,0.53731,0.29486,1.60105,1.86737,1.93585,0.000643625,0.000643625,0.000643625
100,22103.9,1.79696,2.34449,2.02563,0.64206,0.5023,0.55286,0.30465,1.57868,1.88311,1.90646,0.000637437,0.000637437,0.000637437
101,22325.1,1.77597,2.3863,1.99627,0.67558,0.48806,0.53942,0.30336,1.59877,1.83589,1.94164,0.00063125,0.00063125,0.00063125
102,22545.7,1.78033,2.27705,2.0007,0.71377,0.47036,0.54151,0.30079,1.57448,1.8581,1.92636,0.000625062,0.000625062,0.000625062
103,22766.6,1.7964,2.48495,2.02431,0.51136,0.52208,0.56161,0.32192,1.57212,1.7574,1.93252,0.000618875,0.000618875,0.000618875
